question,answer,passage
명예의 장소에서 유명한 사람들,True,루이스 타이언트 베가(스페인어 발음: (출생 1940년 11월 23일)는 메이저리그(MLB) 오른손 선발 투수 출신이다. 그는 주로 클리블랜드 인디언과 보스턴 레드삭스를 위해 19년을 투입했다 그는 1997년 보스턴 레드삭스홀 소속이 되었다
통일국가의 채널 섬들,False,"채널(Norman: Theres d'la Mancher, France: Cherles Nomandes 또는 Charess de La Munchae)은 프랑스 해안에서 벗어난 영국 채널의 한 그 중에는 두 개의 크라운 의존도가 포함되어 있으며, 그 중 가장 큰 섬인 저지의 보헤이 위크와 과르네시, 그리니, 사크, 일부 작은 섬으로 구성된 구르네시의 보디 위크 등이 있다. 이들은 두치의 잔해로 꼽히고 있으며, 영국의 일부는 아니지만 영국은 섬의 방어와 국제관계를 책임지고 있다. 왕관 의존도는 유럽연합이나 국가 공동체의 구성원이 아니다. 이들은 총 인구가 약 16만441명으로 보석 인구는 각각 3만3,500명, 1만6,488명의 인구를 보유하고 있다. 그 섬의 전체 면적은 198㎞이다"
그 주식 행위는 대통령에게 적용된다,True,"1978년 정부법률(EGA) 윤리를 개정해 구매,판매,거래 통보를 받은 뒤 30∼45일 이내에 특정 개인이 면제,배제 대상으로 주식, 채권, 선물, 기타 형태의 증권을 1,000달러 이상 초과하는 신고서를 제출해야 한다. (1) 대통령, (2) 부회장, (3) 임직원, 특정 공무원 및 직원을 포함한 직원,직원 등 개인 명단에 따르면 (4) 행정법관을 임명했고, (5) 경쟁력 있는 직원들은 기밀적이거나 정책적인 성격(OGE) 때문에 (6) 포스트 총장, 부교장, 미국 총재, 각 총재 등이 경쟁 이사회에서 제외했다. 우체국, 그리고 특정 미국 등이 있다. 우체국 장교 또는 직원 7명, OGE 국장 및 각 기관 윤리공무원, (8) 대통령이 임명한 민간인 직원(특별공무원 이외), 의회 의원 9명, (10) 의원,직원 등이 각각 지정됐다."
그들은 완벽한 폭풍으로부터 그 배를 찾은 적이 있었다,False,"연료탱크, EPIRB, 빈 생명조끼, 그리고 다른 일부 플로텀이 유일하게 발견된 잔해였다. 그 배는 세이블아일랜드 인근 선반을 따라 어딘가 바다에서 실종된 것으로 추정되었다"
바이마트에서 멤버가 되어야 합니다,True,"코스트코와 삼 클럽과 마찬가지로 바이마트 매장은 회원 매장이다. 이들 체인과 달리 회원들 전용 정책은 밀러타이딩법, 유통가격 관련 법률 등에 의해 1930년대 미국에서 설립된 공정거래법을 위한 워크라운드로 시작됐다. 따라서 가족 전체에 대한 회원 가입은 5달러에 불과하고 만료되지 않는다."
같은 우주에 있는 고질라와 왕공,True,"몬스터베르세는 고질라와 콩이 출연하는 괴물 영화를 중심으로 한 미국의 미디어 프랜차이즈와 공유 우주로, 워너 브로스가 공동 제작하고 배포하며 토호(고질라 영화에 대한)와 제휴해 레전드 엔터테인먼트가 상생했다. 1차 할부는 고질라 프랜차이즈의 리바운트인 고들라(2014년)로, 이어 콩콩 가맹점의 리베이트인 콩스컬 아일랜드 (2017년)가 뒤를 이었다. 공개될 다음 영화는 고질라: 몬스터스의 왕(2019)이 그 뒤를 이어 고들라 대 공(2020)이 등장한다. 그 시리즈는 지금까지 전 세계적으로 10억 달러를 넘어섰다"
골프에서 1년 만에 누구나 우승했다,True,"'그랜드 슬램'이라는 용어는 미국 오픈인 더 오픈 챔피언십 1930년 4대 골프 대회 우승 성과에 처음 적용됐다. 아마추어와 영국의 아마테우스 존스가 모두 4승을 거두자 스포츠계는 그의 성취의 규모를 포착하는 방안을 모색했다. 그때까지만 해도 누구도 가능하다고 생각하지 않았기 때문에 그런 특징을 설명할 용어가 없었다. 애틀랜타 저널의 O.B. '그랜드 슬램'이라고 불리는 게일러가 다리 용어를 빌렸다. 뉴욕 태양의 조지 트레버는 ""존스가 골프 4분의 4를 가장 많이 잡았다""고 썼다. 게일러는 나중에 스포츠 역사상 가장 큰 개인적인 성취 중 하나와 영원히 연결되는 단어를 쓰게 될 것이다."
참치는 세계 컵에서 한 번도 해본 적이 없다,True,터니지아는 1978년 국제축구연맹(FIFA) 월드컵에서 처음으로 9위로 마무리한 4차례에 걸쳐 4회에 출전했다. 1998년부터 2006년 사이에 그들은 세 번의 월드컵 자격을 얻었다 이들은 2018 러시아월드컵 결승전에서 5번째 출전한다.
세계 1차 전쟁에서 사용된 신경가스,True,"독성 화학물질을 무기로 사용하는 것은 수천 년이 지났지만 1차 세계대전 당시 처음으로 대규모 화학무기 사용이 이뤄졌다. 가스 구름의 무분별하고 일반적으로 매우 느린 움직임이나 정적 성격이 가장 효과적일 수 있는 수비수들에 대해서는 주로 조화, 해로움, 살해하는 데 사용되었다. 무기 종류는 최루가스 등 화학물질을 해체하는 데서 포진, 염소, 겨자 등 치명적인 물질에 이르기까지 다양했다. 이번 화학전쟁은 세계 최초의 전쟁과 20세기 1차 총전쟁의 주요 요소였다. 가스 공격으로 인한 총 130만명의 사상자에서 약 1,000명의 치명적인 사망자가 발생하는 등 가스 살해 능력은 제한적이었다. 가스는 가스 마스크 등 대책 개발이 가능했기 때문에 이 기간 대부분의 다른 무기와는 달랐다. 이후 전쟁 단계에서 가스 사용량이 늘면서 전반적인 효과가 떨어졌다. 이러한 화학물질들의 전쟁과 고폭발물 구성에 전시가 확산되면서 1차 세계대전을 '화학자 전쟁'으로 간혹 표시하고, 대량살상무기가 만들어진 시대도 일어났다."
전문적인 학위는 전문 학위보다 높다,False,"미국에서는 전문의와 '도의 학위-연구/학력' 사이에서 구별이 이루어지고 있으며, 이후 '(a) 박사 또는 다른 의사 학위'는 원래 연구를 바탕으로 한 논문 준비와 방어, 실질적인 예술적, 학력적 성취를 보여주는 원작 프로젝트의 기획과 실행 등 석사 수준을 넘어서는 국제적으로는 미국의 전문 의사(연구 의사와 달리 석사 수준을 넘어 업무를 필요로 하는 것으로 규정되지 않는다)가 일반적으로 의사수준 자격으로 여겨지는 것은 아니다. 전문 의사나 연구 의사의 정의에 맞지 않는 의사를 위해서도 '닥터의 학위-다른'의 분류가 존재한다."
해그리드는 해트와의 싸움에서 죽었다,False,"보르데모트가 패배한 지 19년이 지난 지금도 하그리드는 여전히 호그워트에 있고, 해리를 위해 한 때처럼 해리와 진니 웨이스리의 둘째 아들 알버스 세브러스 포터스를 자신의 집에 초대해 차를 마시고 로우링은 2007년 인터뷰에서 하그리드가 결혼했는지 묻는 질문에 거대한 여성과의 관계를 발전시켰지만 성공하지 못했다고 답했다."
곰 한 마리가 사업에서 벗어났다,False,'R' 우리가 2018년 3월 미국 점포 735점을 모두 폐쇄할 계획을 발표한 이후 빌-아-베어 워크숍은 유일하게 유통 분위기에서 살아남기 위한 장난감 유통업체로 남았다.
이스패스와 고속 e스패스 사이에 차이가 있다.,True,"대부분의 EZPAS는 통행료를 전환하는 차량으로 안전한 이유(시간당 5∼15마일(8∼24㎞)에 비해 상당히 낮은 속도로 제한이 있어야 하는데, 이지PAS 차량이 현금 지급을 위해 멈춰선 차량과 안전하게 합병할 수 있고, 일부 경우에는 요금 노동자들이 E-ZPas 그러나 일부 지역에서는 EZPass 이용자들이 통행료-보스 차로와 물리적으로 별도의 전용 교통차로('엑스프레스 E-ZPASS')를 활용할 수 있기 때문에 (최근에 지어지거나 복고시설을 개설하는 형태)는 둔화할 필요 예를 들어 보자."
주택 선택 바우처 프로그램은 8구역과 같다,True,1937년 주택법 제8조(미국 42조)가 발의됐다. 개정대로 8조로 자주 불리는 1437f)은 2008년 현재 미국에서 약 480만명의 저소득층을 대신해 민간주택자에 대한 임대주택 지원을 허가하고 있다. 이 구간 중 가장 큰 부분은 약 210만 가구의 임대료와 공공시설 중 상당 부분을 지급하는 주택택택배권 프로그램이다. 미국 주택도시개발부가 8개 프로그램을 관리한다.
시리즈 시리즈가 끝나는 게임이다,False,"아이스와 파이어의 노래는 미국 소설가 겸 스크린 작가 조지 R.R.의 시대적 판타지 소설이 잇따르고 있다. 마틴 그는 1991년 시리즈 '두론의 게임'의 첫 번째 볼륨을 시작했으며, 이 작품은 96년에 출판되었다. 당초 시리즈를 트릴로그로 구상했던 마틴은 계획된 7권 중 5권을 출판했다. 2011년 출간된 시리즈의 다섯 번째와 가장 최근의 볼륨은 드래곤과 함께하는 A무용으로 마틴이 6년이 걸려 글을 썼다. 그는 여전히 여섯 번째 소설인 겨울의 신화를 쓰고 있다"
우리 우체국은 민간 기업이다,False,"우체국, 미국 메일, 우체국으로도 알려진 미국우체국(USPS)은 미국에서 우편 서비스를 제공할 책임이 있는 연방정부의 독립기관이다. 미국 헌법이 명시적으로 허가한 소수의 정부 기관 중 하나다."
나바 선수는 평균 3배 이상의 선수를 가지고 있다,True,"'더 빅 오'라는 별명으로 불리는 오스카 로버트 선수(11월 24일, 1938년 11월)는 신시내티 로열스와 밀워키 버크스에서 뛰었던 미국 프로농구 선수다. 6ft 5(1.96m), lb(93㎏), 로버트슨이 포인트 가드를 뛰며 12회 올스타, 올-NBA 팀 11회 멤버, 14회 프로시즌 MVP 수상 1회 우승을 차지했다. 1962년 NBA 역사상 처음으로 시즌 평균 3중배가 됐다. 1970-71 NBA 시즌에는 버크스가 유일하게 NBBA 타이틀을 가져온 팀에서 핵심 선수였다. 특히 고등학교와 대학 시절 그의 경력이 인종차별에 시달렸다."
다섯 번째 파도의 후속작이 있다,True,마지막 스타는 미국 작가 릭 얀시가 쓴 젊은 성인 과학 소설이다. 지피가 2016년 5월 24일 발간했다. 노르웨이의 아들들 이번 소설은 더블 바다가 선행하는 제5회 파도 트리로기에서 세 번째와 마지막이다.
진짜 이야기를 바탕으로 한 그 영화는 불공평하다,False,시아말란은 만화의 전통적인 3부 스토리 구조와 평행하는 것이 불가능하다는 서술을 정리했다. 시아말란은 원작 이야기를 정착시킨 뒤 이미 브루스 윌리스가 영화에 출연하기로 했고 잭슨을 염두에 두고 엘리야 프라이스를 그린 투기 스크린플레이로 화면을 썼다. 촬영은 2000년 4월부터 시작돼 7월에 완료됐다.
내전에서 이란 싸움을 벌였다,True,"아일랜드-미국 가톨릭 신자들은 미국 내전 양측(1861∼1865)을 장교, 자원봉사자, 초빙생으로 지냈다. 아일랜드 대가족(1845∼1852)으로 인한 이민자들은 인종, 종교, 평화주의, 개인적 충성 문제가 서비스에 대한 일부 저항을 낳았지만 수천명의 남성을 잠재적 신병으로 제공했다. 이들 아일랜드인들의 의미심장한 몸은 이후 미국 내전에서 얻은 군사적 경험을 활용해 영국 제국과의 싸움을 목표로 공화당의 아이돌 공화국, 펜니아 형제, 클란나 게일의 구성원으로 삼았다. 특히 민주당을 중심으로 미국 내전에는 아주 많은 이슬람교도들이 참여했다."
달콤한 양파와 같은 비디오 양파들이다,True,비달리아 양파(Vidalia Onion)는 미국 조지아주의 법률과 미 연방 규정(CFR)이 규정한 생산 영역에서 자란 특정 품종의 달콤한 양파다.
그들은 카나다에서 시네코 드 마요를 축하하고 있다,True,"멕시코와 미국 밖에서도 신코 데 마요와 연결된 이벤트가 발생한다. 미국과 마찬가지로 다른 곳에서도 멕시코 요리, 문화, 음악을 강조한다. 예를 들어, 캐나다 포르투갈에서는 '신코 드 마요 스트리트 페스티벌'을 열고 일부 캐나탈 주점들이 멕시코 음악을 연주하며 멕시칸 음식과 음료를 제공하고 있으며, 밴쿠버 인근 하늘다이빙 클럽은 신코 데 마요 카리브해에서는 카이만 열도에서 매년 열리는 신코 드 마요 항공기타 대회가 열리고 있으며, 자메이카주 몬테고 베이에는 시네코 데 메이오 축하 행사가 열린다. 오스트레일리아 퀸즈랜드 브리즈버그 시가 이날을 기리기 위해 연례 멕시코 페스티벌을 열고 런던과 뉴질랜드에서 축하 행사가 열린다. 남아프리카 카페타운, 라고스, 나이지리아, 파리 등에서도 이날 다른 축하 행사가 열릴 수 있다. 오사카에서 일본과 도쿄 요요기공원 행사 공간에서는 중남미 문화를 축하하는 시인코 드 마요가 축하를 하고 있다."
오즈의 마법사 출신 누구나 2017년에도 살아 있다,True,제리 마렌으로 알려진 제라드 마렌기(1920년 1월 24일)는 미국 배우이자 롤리팝 길드 멤버를 묘사한 1939년 MGM 영화 '오즈의 마법사'의 마지막 생존 문킨이다. 그는 2014년 1월 16일 동료 문치킨 루시니의 죽음에 이어 멍치킨 캐스팅의 마지막으로 알려진 생존자가 됐다(아직 살아있는 뮌킨스를 연기한 어린이 배우들도 있을 것이다).
브리티시 파운드와 같은 아이리쉬 파운딩이다,False,유럽환율 메커니즘은 1979년 30월까지 아일랜드 파운드와 파운더파운드 사이에 존재했던 1포대 1 링크를 최종적으로 깨고 환율이 도입됐다.
텍사스에서만 판매되는 블루 벨 아이스크림,False,"시장 데이터와 통계 포털인 스타티스타가 모인 수치에 따르면 2014년 블루벨은 미국에서 가장 잘 팔리는 아이스크림 브랜드였다. 판매 지역은 주로 남미에 집중되어 있으며, 인도나폴리스와 덴버까지 북쪽으로 가는 라스베이거스, 버지니아주 동쪽까지는 서쪽까지 판매되고 있다. 전체적으로 이 지역은 미국의 20%만 구성된다. 이와 비교해 블루벨 상위 4개 경쟁사가 각각 미국의 100%에서 자사 제품을 판매한다. 블루벨은 3대 아이스크림 제조업체 중 하나가 되기 위해 회사가 진출한 시장 대다수 시장에서 꾸준히 최고 매도자로 나섰다. 예를 들어 텍사스 국내 상태에서는 시장 점유율이 52%에 달한다. 루이지애나 바톤 진출 5개월 만에 아이스크림 시장의 35%를 차지했다. 판매 지역 외에 거주하는 사람들은 아이스크림을 수송할 수 있다(회사가 리콜 이후 생산량이 증가하는 동안 일시적으로 중단됐지만), 조지 W 부시(전 텍사스주지사) 전 대통령은 행정부 시절 캠프 데이비드로 출하 2006년과 2012년에는 국제우주정거장에 탑승한 우주비행사들도 블루벨 아이스크림 '(승무원들의) 행복 할당량을 돕기 위해' 취급을 받았다."
처음 나왔을 때 눈이 하얗게 물들었다,True,"영화 디자인에 대한 주된 권한은 콘셉트 아티스트 앨버트 허터였다. 캐릭터의 외모부터 배경에 있는 바위들의 표정까지 영화 속에서 사용되는 모든 디자인은 허터의 승인을 받아야 최종 확정됐다. 다른 두 개의 개념 아티스트 중 하프스, 그리고 그리스도 텐그렌 등 두 명의 콘셉트가 스노우 화이트와 세븐 듀프스의 비주얼 스타일에도 기여했다. 허브스는 그가 개발한 다른 많은 디자인들이 결국 허터보다 애니메이션으로 쉽게 번역되지 않아 디즈니 팀에 의해 거부당했지만 다수의 어두운 콘셉트를 개발했다. 텐그렌은 아서 락ham과 존 바우어의 취향에서 빌린 스타일로 볼트 디즈니가 추구하는 유럽의 품질을 지니고 있어 다양한 장면들의 장면과 분위기를 판단하기 위해 컬러 스티일리스트로 활용됐다. 그는 또 영화를 위한 포스터를 설계하고 언론책을 표시했다. 다만 호바스는 그 영화에 대한 신용을 받지 못했다. 영화 작업을 위한 다른 아티스트들도 여왕의 마녀 형태의 디자인이 가장 큰 공헌이었던 조 그랜트를 포함했다."
베르몬트에서 총 허가가 필요한가요?,False,국가는 문제가 아니라 무기를 자신의 사람에게 공개적이거나 은폐할 수 있도록 허가하는 것도 필요 없다. 이는 미국에서 '퍼밋'이 미국 헌법이기 때문에 헌법적으로 유명하다. 이런 사례가 항상 그랬던 상태는 바몬트(대체 용어 버몬트가 가지고 있는 경우)가 유일하다. 버몬트법은 주민과 국가의 비주민을 구분하지 않는다. 버몬트에서는 허가 없이 무료로 이동할 수 있는 권리가 동일하다.
면세와 세금이 같은 것이다,False,"면세점(또는 점포)은 특정 지방이나 국세,관세 납부를 면제받는 소매점으로, 판매되는 물품이 국외로 나갈 여행객에게 판매된다는 요건에 따라 면세점이다. 관할별로 면세점을 판매할 수 있는 상품은 물론 판매가 가능한 방법, 면세 부품을 산정하거나 환급하는 과정 등이 다르다."
여전히 활발한 화산으로 산성 헬렌스가 있다,True,"세인트 헬렌스 산이나 루왈라 클로우(로켓라트로 알려진 로얄라, 토종 쿠리츠 사람들에게 로비트)는 미국 북서부 워싱턴 스카만니아 카운티에 위치한 적극적인 스카폴 카나노다. 워싱턴 시애틀 남쪽 포틀랜드와 오리건 북동쪽 50마일(80㎞), 96마일(154㎞) 거리다. 세인트헬렌스 산은 18세기 말 이 지역을 조사한 조지 밴쿠버 탐험가의 친구 스틸렌스 영국 외교관으로부터 영어 이름을 딴다. 이 화산은 캐스케이드 레인지에 위치해 있으며, 160여 개의 활화산이 포함된 태평양 화산고리 부문인 캐스카이드 화산아크의 일부다. 이 화산은 재발 폭발과 평면 흐름으로 잘 알려져 있다."
세계 컵에는 동메달이 있다,True,"국제축구연맹(FIFA) 월드컵은 보통 결승 전날인 3위 플레이오프가 특징이다. 준결승전과 결승전 사이에 며칠간 격차가 벌어지는 경우가 많아 시야를 제공하는 일이 자주 있다. 3위 플레이오프는 소형 경기장 중 하나로 자주 예정돼 있어 주최 측에 대한 하위권 경기로 꼽히고 있으며, 최대 구장(보통 개최국 수도시에 위치한)은 결승전을 예약하는 반면 준결승은 2위, 3위 구장을 차지하고 있다. 다만 1994년 월드컵 3위 경기는 이후 토너먼트 결승전을 개최하는 같은 장소인 로즈볼 경기장을 활용해 국제축구연맹(FIFA) 세 번째 플레이오프에 91,500명의 출전 기록을 세웠다."
그들은 돌산에서 바위를 제거하고 있다,False,돌산공원에서 돌출된 돌출입구를 제거하자는 제안이 나왔다. 다만 조지아 국가법에 따르면 석면에 새겨진 수치를 바꿀 수 있는 사람은 없다. 국립공원 내 어떤 변화라도 국회의원의 승인이 필요할 것이다.
완전히 서쪽에 있고 같은 사람을 바르게 하고 있다,False,"작가들이 처음 생각한 바트는 30세기에 멜로니 태워와 돈 앨런에게 태어났으며, 슈퍼히어로와 감독의 복잡한 가족나무의 일부다. 그의 아버지 돈은 토네이도 트윈스 중 한 명으로, 그의 할아버지는 두 번째 플래시인 바리 앨런이다. 그의 외할머니 웨스트 앨런 역시 첫 키드 플래시 월리 서부(바트의 첫 사촌이 한 번 제거한 적이 있다)의 입양 이모다. 여기에 바트는 엑스에스의 첫 사촌이자 다윈 앨런의 딸이다. 그는 어머니 쪽에서는 줌 교수와 코발트 블루 교수의 후손이자 두 번째 부메랑 대위인 오웬 메르서의 반형제이다. 이들 친인척 외에도 인베르티아로 알려진 감시 클론이 있었다."
세 번째 연속 아무런 범죄도 없을 것이다,False,노 오피스는 폴 압보트가 만든 채널4에서 영국 텔레비전 경찰 절차극이다. 맨체스터 광역경찰서 부서인 금요일 거리 경찰서의 형사팀(대형 맨체스타 경찰의 소설판)을 따르고 있다. 시리즈 스타 조나단 스칸란이 주인공으로 활동하고 있는 형사 비브 감독이다. 첫 시리즈는 다운증후군이 있는 젊은 소녀들의 연쇄 살인사건에 대한 팀의 조사에 초점을 맞추고 있다. 두 번째 실점으로 재개되었다 2017년 1월 4일 방송된 두 번째 시리즈는 맨체스터 범죄 보스 노라 아타(라키 아이올라)에 대한 수사에 이어 방송이 시작됐다. 두 시리즈 모두 맨체스터의 위치에 촬영되었다
시즌 2의 윈나 귀걸이가 있다,True,지난 2016년 7월 23일 미국 샌디에이고 코믹콘(SDCC)에서 열린 위너 에어프 패널에서 두 번째 시즌 리뉴얼이 발표됐다. 원래 10회로 예정됐던 시즌은 2016년 10월 12회로 늘었다. 캐나다에서는 지난 2017년 4월 15일 CHC-DT에서 우주 효과가 있는 공간으로 이적한 바 있다. 시즌2 초연을 기대하며 스페이스는 스페셜 더블 에피소드 시리즈 데뷔와 같은 날 시즌1을 방송하기 시작했다. 시즌2가 2017년 6월 9일 시피와 우주에서 동시에 선보였다.
언제 캐나다에 갈 여권을 가져야 했는지,True,캐나다에 입국을 희망하는 외국인은 캐나다 외교 임시 거주 비자를 받아야 한다. 비자 면제 대상국과 영토 중 하나인 51개국이 발급한 여권이나 미국 영주권 증명을 받지 않는 이상 캐나탈 외교
우리 우편 서비스의 일환으로 연결되어 있다,False,"2015년 2월 기준 USPS는 현역 직원 61만7254명과 2014년 21만1264대를 운영하고 있다. 미국 PS는 세계 최대 민간 차량 함대의 운용사다. 미국은 지리학과 상관없이 모든 미국인에게 일률적으로 가격과 품질을 제공해야 한다는 의무가 있다. 미국은 여전히 '미국 메일'과 미국 내 개인 편지함에 대한 독점적인 접근이 이뤄지고 있지만 현재는 유나이티드 파르셀 서비스, 연준 등 민간 패키지 배달 용역과 경쟁해야 한다."
좋은 카르마 병원의 두 번째 시리즈가 있다,True,굿 카르마 병원은 두 번째 시리즈에 대한 허가를 받았다 2017년 8월 두 번째 시리즈 촬영이 시작돼 2018년 3월 18일부터 방송되고 있다.
산 검사와 같은 비율이 빠르다,True,금융의 경우 산 테스트 비율로도 알려진 빠른 비율은 기업이 현재의 부채를 즉시 진화하거나 은퇴하기 위해 가까운 현금이나 신속한 자산을 이용할 수 있는 능력을 측정하는 유동성 비율의 일 신속자산에는 신속하게 현금으로 전환할 수 있는 현재 자산이 포함되어 있다. 빠르게 이용이 가능하거나 액정자산과 현재 부채 사이의 비율이다.
그 왕의 연설에서 어떤 발음이든 승리했다,True,"제83회 아카데미 시상식에서는 이 영화가 어느 영화보다 총 12개의 시상 후보를 받았으며, 베스트 그림 최고의 감독(협력사), 베ス트 오리지널 스크린플레이(시들러), 배스트 배우(출산) 등 4개를 수상했다. 제68회 골든글로브 어워드에서는 영화가 다른 어떤 지명자보다 많은 7명의 지명을 받았지만 베스트 배우에게는 출산만 수상했다. 호퍼 역시 미국 제63회 이사회에서 베스트 이사로 우승했다. 제17회 스크린 배우 어워드에서는 출산이 최우수 배우상을 수상하고 출연진이 베스트 앙상블에서 우승했다. 제64회 영국 아카데미 영화상에서는 베스트필름, 뛰어난 영국영화, 최고의 배우(출산), 최우수 지원배우(러쉬), 배스트 지원 여배우(본함 카터), '베스트 오리지널 스크린플레이(시들러)', '버스트 뮤직(알렉산드레 디스플레이)' 등으로 구성된 어느 영화보다 많은 144편"
존 위크 영화 한 편 이상이 있다,True,"John Wick: 2장은 2017년 미국의 뉴노이어 액션 스릴러 영화로, 차드 스테이츠키가 연출하고 데릭 콜스타드가 쓴 작품이다. 존 위크 영화 시리즈 2부 설치에는 보상금을 받고 달리기를 하는 히트맨 존 위치가 그에게 배치되는 줄거리가 뒤따른다. '마트릭스 트리로기'에 함께 등장한 이래 처음으로 리브스와 피시 사이의 협업을 기념하는 게누 리브즈, 일반적이고 캐슬링, 리카르도 스카마르시오, 루비, 존 레구이자모, 이안 맥샤누 등이 출연한다."
런던의 거대한 불길이 스테파울의 대성당을 파괴했다,True,"성당은 이미 17세기 초까지 심각한 구조적 감소세를 보였다. 잉글랜드 내전 당시(1642∼1651년) 이니고 존스가 1620년대에 시작한 복원 작업은 중단됐다. 크리스토퍼 린 장관은 런던 대불에서 성당이 파괴되자 1666년 다시 복원을 시도하고 있었다. 그 시점에서 오래된 구조물이 철거되었고, 현재 주민들은 대성당이 현장에 위치해 있어 렌이 영어로 만든 바로크 디자인을 적용했다."
새로운 호르몬드는 양도소득세를 가지고 있다,False,"뉴질랜드 정부를 대신해 국토수입국(IRD)이 국가 차원에서 세금을 징수한다. 국세는 개인소득과 사업소득, 상품과 서비스 공급에 부과된다. 특허권 매각에 대한 이익 등 특정한 '혜택'은 소득세가 특정 상황에서 재산거래에 적용되는 것으로 판단되지만 양도소득세는 없다. 현재 토지세는 없지만 지방재산세(통과)는 지방자치단체가 관리,수거한다. 일부 상품과 서비스는 알코올 소비나 게임 면세 등 소비 또는 관세로 지칭되는 구체적인 세금을 부과하는 경우가 있다. 이들은 뉴질랜드 관세청 등 다양한 정부기관이 수집한다. 사회보장(연봉) 세금이 없다."
액체 설명으로 가스를 섞을 수 있다,True,"산업공정공학의 경우 혼합은 보다 동일하게 하려는 취지로 불안정한 물리적 시스템을 조작하는 단위 운영이다. 수영장에서 수온을 동원화하기 위해 물을 펌핑하는 것과 팬케이크 타자의 혼동 등이 유명한 예로 수영장 안에서 발생하는 방식(데글로머레이션)을 없애는 것이 특징이다. 혼합은 하천이나 부품이나 단계 사이에서 발생할 수 있도록 하기 위해 진행된다. 근대 산업 처리에는 거의 항상 어떤 형태의 혼합이 포함된다. 일부 화학 원자로의 수업도 믹서가 있다. 올바른 장비로 탄탄하고 액체나 가스를 다른 고체, 액체, 가스로 섞을 수 있다. 바이오에프엘러는 최적의 수익률을 위해 미생물, 가스, 액체 등을 혼합하는 것이 필요할 수 있으며, 유기질소(리퀴드) 질소산과 황산이 수소유기 단계에 혼합되어야 하며, 제약 태블릿의 생산은 고체 분말의 분해가 필요하다. 혼합이 반대되는 것은 분리된다 고전적인 분리 사례가 브라질 영양 효과다."
당신의 타율에 반대하는 플라이 카운트를 한다,False,"성공적인 행동을 위해 타자에게 불이익을 주는 것을 피하기 위해서는 희생자 플라이를 타석으로 세우지 않겠다는 취지다. 희생플라이는 타자가 연극에 공을 넣은 뒤 한 번도 타격을 받지 않는 야구에서 2개 중 하나로, 다른 하나는 희생 히트(희생 번트로 알려진)다. 다만 희생플라이가 선수의 타율에 영향을 주지 않는 반면 플레이트 모습으로 집계돼 출루 비율을 낮추고, 타격 연속 선수는 공식 타석이 없으면 타격이 끝난다."
그 마그나 카르타는 영국 권리의 법안,False,"영국에서는 영국 헌법의 일부 기본 문건으로 마그나 카르타, 권리청원, 하베아스공사법 1679, 의회법 1911, 1949 등이 추가로 동행되고 있다. 스코틀랜드에서는 별도이지만 유사한 문건인 권리법 1689호가 적용된다. 권리안 1689건은 미국 권리안에 대한 감동 중 하나였다."
M6 요금으로 두 가지 방식으로 지불하세요,True,"영국에서는 M6 Toll이 유일하게 주요 통행로로 북상을 위한 위클리 트로 광장과 남행을 위해 위포르트 트롤 광장 등 2개의 결제 플라즈를 갖추고 있다. 북쪽으로 향하는 통행료 광장은 후속 T6과 T7 사이에 위치해 있으며, 후반부 T4와 T3 사이로 남쪽을 향하고 있다. 일주일 현금 비용은 자동차가 5.90파운드, 무거운 굿즈 차가 11파운드가 든다."
호흡기 시스템의 비도 부위,True,"인간의 경우 단계적으로는 소화체계의 일부이며 호흡기 시스템의 실행구역이기도 하다. (실행 구역에는 코, 레인x, 트라차아, 기관지, 지관지 등의 코도 포함되어 있으며, 기능은 필터, 따뜻하고 촉촉한 공기를 넣어 폐로 전도하는 것이다.) 파랑스는 곧바로 비강 뒤에 위치한 목 부분을 입 뒤와 식도 위에 놓여 있고 레인x 위로 만들어 놓는다. 인간의 단계는 전통적으로 비도, 오로파린x, 인공도 등 3개 구간으로 나뉘어져 있다. 보컬화에서도 중요하다"
지역사회에서 실제 아프리카 음악이 들렸던 19세기 초반의 새로운 또는 음악,True,뉴올리언스에 미치는 아프리카의 영향력은 노예들이 일요일에 음악과 춤을 추기 위해 그곳에서 자리를 잡고 있는 1880년에 뉴올림픽의 콩고 광장으로 돌아갈 수 있다. 아프리카 음악은 루이스 모로 고츠차 등 현지 백인 작곡가들을 비롯해 지역 음악과 함께 연주되었다. 시내에서 인기가 많았던 유럽 뮤지컬 형태와 함께 브라운드 전통을 비롯해 문화 믹스는 뉴올리언스 미술 형태가 올 수 있는 토대를 마련했다.
잘못을 깨고 사울을 부르는 것이 좋다,False,더 나은 Call Saul은 빈스 길리건과 피터 버튼이 만든 미국 텔레비전 범죄 드라마다. 길리건의 사전 시리즈 브레이크 배드의 스핀오프 프리퀄이다. 2000년대 초반 세트에서 베드콜 솔은 브레이크 배드 행사를 6년 앞둔 제임스 모건 '짐미' 맥킬(밥 오든 캐슬)이 소위 굿맨의 인물 변신을 보여주는 이야기와 함께 브레킹 배드의 행사 이후 잠시 자신의 삶을 탐구하는 모습을 그린다. 이 시리즈는 앞서 몇 년 동안 다른 브레이크 배드 캐릭터들의 상황도 탐구한다. 이번 방송은 2015년 2월 8일 AMC를 초연해 3시즌 방송을 마친 이후 10에피소드 4시즌이 오는 1018년 8월 6일부터 방송될 예정이다.
